Neighbourhood,Neighbourhood Id,Part-Time Employment,Drug Arrests,Low Income Population,Total Population,Healthy Food Index,LowIncPop/TotalPop,NormalPop,NormalLowIncome,NormalPartTime,NormalDrugArrest,norm_low/total
High Park North,88,892.00,8.00,"2,940.00","22,162.00",40.24,0.132659507,0.26,0.165106952,0.028502363,0.045977011,0.114108478
Runnymede-Bloor West Village,89,924.00,7.00,720.00,"10,070.00",45.64,0.071499503,0.06,0.01671123,0.029656889,0.040229885,0.028962647
Junction Area,90,"2,420.00",14.00,"2,190.00","14,366.00",44.09,0.152443269,0.13,0.114973262,0.083630985,0.08045977,0.141651066
Weston-Pellam Park,91,457.00,29.00,"2,810.00","11,098.00",52.57,0.253198775,0.08,0.156417112,0.012808024,0.166666667,0.281921026
Corso Italia-Davenport,92,584.00,19.00,"2,120.00","14,133.00",37.94,0.150003538,0.13,0.110294118,0.017390049,0.109195402,0.138254518
Dovercourt-Wallace Emerson-Juncti,93,"1,748.00",20.00,"6,400.00","36,625.00",35.06,0.174744027,0.51,0.396390374,0.059385936,0.114942529,0.172697772
Wychwood,94,770.00,17.00,"1,940.00","14,349.00",40.49,0.135201059,0.13,0.098262032,0.024100732,0.097701149,0.11764678
Annex,95,"6,951.00",43.00,"4,260.00","30,526.00",38.85,0.139553168,0.40,0.253342246,0.247104665,0.247126437,0.123705705
Casa Loma,96,"1,319.00",21.00,950.00,"10,968.00",32.33,0.086615609,0.07,0.032085561,0.043908071,0.120689655,0.050007011
Yonge-St.Clair,97,"1,221.00",13.00,980.00,"12,528.00",32.65,0.078224777,0.10,0.034090909,0.040372335,0.074712644,0.038325448
Rosedale-Moore Park,98,"2,435.00",26.00,"1,650.00","20,923.00",32.2,0.078860584,0.24,0.078877005,0.084172169,0.149425287,0.039210608
Mount Pleasant East,99,"1,690.00",6.00,"1,210.00","16,775.00",50.4,0.072131148,0.17,0.049465241,0.057293358,0.034482759,0.02984201
Yonge-Eglinton,100,"2,555.00",35.00,"1,100.00","11,817.00",31.95,0.093086232,0.09,0.042112299,0.088501642,0.201149425,0.059015293
Forest Hill South,101,874.00,12.00,860.00,"10,732.00",18.49,0.080134178,0.07,0.026069519,0.027852942,0.068965517,0.040983682
Forest Hill North,102,290.00,2.00,"1,770.00","12,806.00",29.11,0.138216461,0.10,0.086898396,0.006782841,0.011494253,0.121844767
Lawrence Park South,103,510.00,6.00,930.00,"15,179.00",37.53,0.061268858,0.14,0.030748663,0.014720208,0.034482759,0.014719731
Mount Pleasant West,104,"4,505.00",10.00,"4,740.00","29,658.00",41.6,0.15982197,0.39,0.285427807,0.158855576,0.057471264,0.151923559
Lawrence Park North,105,"1,342.00",1.00,980.00,"14,607.00",52.03,0.067091121,0.14,0.034090909,0.044737886,0.005747126,0.022825378
Humewood-Cedarvale,106,471.00,4.00,"1,820.00","14,365.00",32.85,0.126696833,0.13,0.090240642,0.013313129,0.022988506,0.105807352
Oakwood Village,107,500.00,30.00,"3,930.00","21,210.00",41.07,0.185289958,0.25,0.231283422,0.014359418,0.172413793,0.187379621
Briar Hill-Belgravia,108,637.00,20.00,"2,870.00","14,257.00",34.23,0.201304622,0.13,0.160427807,0.019302233,0.114942529,0.209674943
Caledonia-Fairbank,109,123.00,15.00,"1,720.00","9,955.00",53.48,0.172777499,0.06,0.08355615,0.000757658,0.086206897,0.169960007
Keelesdale-Eglinton West,110,424.00,9.00,"1,970.00","11,058.00",34.48,0.178151564,0.08,0.10026738,0.011617419,0.051724138,0.177441682
Rockcliffe-Smythe,111,699.00,37.00,"5,160.00","22,246.00",31.87,0.231951812,0.26,0.313502674,0.021539128,0.212643678,0.252341395
Beechborough-Greenbrook,112,962.00,21.00,"1,920.00","6,577.00",25.57,0.29192641,0.00,0.096925134,0.031027889,0.120689655,0.335836927
Weston,113,"1,986.00",56.00,"5,050.00","17,992.00",41.45,0.280680302,0.19,0.306149733,0.067972724,0.32183908,0.320180302
Lambton Baby Point,114,102.00,5.00,"1,390.00","7,985.00",27.28,0.174076393,0.02,0.061497326,0,0.028735632,0.171768304
Mount Dennis,115,620.00,20.00,"3,770.00","13,593.00",29.91,0.277348635,0.12,0.220588235,0.018688891,0.114942529,0.315542017
Steeles,116,"1,074.00",7.00,"7,570.00","24,623.00",11.36,0.307436137,0.30,0.47459893,0.03506873,0.040229885,0.357429282
L'Amoreaux,117,"2,015.00",15.00,"12,450.00","43,993.00",30.73,0.282999568,0.63,0.800802139,0.069019014,0.086206897,0.323409141
Tam O'Shanter-Sullivan,118,"1,751.00",7.00,"6,570.00","27,446.00",41.37,0.239379145,0.35,0.407754011,0.059494173,0.040229885,0.262681591
Wexford/Maryvale,119,"4,882.00",10.00,"5,500.00","27,917.00",42.08,0.197012573,0.36,0.336229947,0.172457337,0.057471264,0.203699631
Clairlea-Birchmount,120,"4,157.00",46.00,"5,650.00","26,984.00",30.8,0.209383338,0.34,0.346256684,0.146300105,0.264367816,0.220921982
Oakridge,121,535.00,23.00,"5,890.00","13,845.00",35.43,0.425424341,0.12,0.362299465,0.015622181,0.132183908,0.521690287
Birchcliffe-Cliffside,122,"1,387.00",22.00,"3,050.00","22,291.00",32.74,0.136826522,0.26,0.172459893,0.046361439,0.126436782,0.119909719
Cliffcrest,123,491.00,18.00,"2,660.00","15,935.00",25.55,0.166928146,0.16,0.146390374,0.014034708,0.103448276,0.161816645
Kennedy Park,124,532.00,18.00,"4,810.00","17,123.00",34.96,0.280908719,0.18,0.290106952,0.015513945,0.103448276,0.3204983
Ionview,125,270.00,13.00,"3,350.00","13,641.00",47.14,0.245583168,0.12,0.192513369,0.006061262,0.074712644,0.271318719
Dorset Park,126,"2,656.00",28.00,"6,590.00","25,003.00",32.27,0.263568372,0.31,0.409090909,0.092145615,0.16091954,0.296357388
Bendale,127,"6,990.00",30.00,"6,870.00","29,960.00",29.12,0.229305741,0.39,0.427807487,0.248511744,0.172413793,0.248657584
Agincourt South-Malvern West,128,"3,851.00",9.00,"6,400.00","23,757.00",35.26,0.269394284,0.29,0.396390374,0.135259949,0.051724138,0.304468115
Agincourt North,129,"1,465.00",10.00,"8,250.00","29,113.00",38.09,0.283378559,0.38,0.520053476,0.049175596,0.057471264,0.323936766
